Trajectory ID,SMILES,PSMILES,CONDUCTIVITY,log10_cond,fold
26620,C=CC(C)(CNC(C)(C)CCO*)OC(=O)*,C=CC(C)(CNC(C)(C)CCO[*])OC(=O)[*],3.36e-05,-4.473660722610156,0
26621,CC(C)(CNC(=O)*)C(O*)C(=O)O,CC(C)(CNC(=O)[*])C(O[*])C(=O)O,4.02e-05,-4.39577394691553,3
26622,CC(C)COCCNC(CO*)COC(=O)*,CC(C)COCCNC(CO[*])COC(=O)[*],5.24e-05,-4.280668713016273,2
26623,CC(C)(C)OCCNC(CO*)COC(=O)*,CC(C)(C)OCCNC(CO[*])COC(=O)[*],4.47e-05,-4.349692476868063,3
26624,CC(C)(COC(=O)*)N*,CC(C)(COC(=O)[*])N[*],6.22e-05,-4.206209615309182,1
26625,CC(C)CC(=O)NC(CO*)C(C)OC(=O)*,CC(C)CC(=O)NC(CO[*])C(C)OC(=O)[*],6.67e-05,-4.175874166083451,0
26626,C=CCN(C)CC(OC(=O)*)C(C)(C)O*,C=CCN(C)CC(OC(=O)[*])C(C)(C)O[*],3.39e-05,-4.469800301796918,1
26627,CC(COCC(C)OC(=O)*)O*,CC(COCC(C)OC(=O)[*])O[*],9.65e-05,-4.015472686656207,1
26628,CC(CCO*)COC(=O)*,CC(CCO[*])COC(=O)[*],7.77e-05,-4.1095789811990855,2
26629,CCCCCCCCC(COC(=O)*)N*,CCCCCCCCC(COC(=O)[*])N[*],2.93e-05,-4.533132379645891,2
26630,C=CCCC(CNCCCOC(=O)*)O*,C=CCCC(CNCCCOC(=O)[*])O[*],0.000113,-3.9469215565165805,1
26631,CCN(CCO*)C(C)COC(=O)*,CCN(CCO[*])C(C)COC(=O)[*],6.31e-05,-4.199970640755866,3
26632,CC(=CCOC(=O)*)C(O*)C(C)(C)C,CC(=CCOC(=O)[*])C(O[*])C(C)(C)C,1.93e-05,-4.714442690992226,1
26633,CC(OC(=O)*)C(=O)N(C)CCCCCO*,CC(OC(=O)[*])C(=O)N(C)CCCCCO[*],3.09e-05,-4.510041520575165,3
26634,CC(C)(OC(=O)*)C(=O)NCCCO*,CC(C)(OC(=O)[*])C(=O)NCCCO[*],6.18e-05,-4.209011524911184,2
26635,CC(CCO*)NC(=O)C(C)(C)NC(=O)*,CC(CCO[*])NC(=O)C(C)(C)NC(=O)[*],5.81e-05,-4.235823867609669,2
26636,CC(C)(CO*)NC(=O)CCNC(=O)*,CC(C)(CO[*])NC(=O)CCNC(=O)[*],4.44e-05,-4.35261702988538,1
26637,CC(F)(CO*)COC(=O)*,CC(F)(CO[*])COC(=O)[*],9.49e-05,-4.022733787572707,0
26638,COCC(C)(O*)C(=O)OCCCOC(=O)*,COCC(C)(O[*])C(=O)OCCCOC(=O)[*],5.25e-05,-4.279840696594043,3
26639,CC(C)(C)OC(=O)NC(CO*)COC(=O)*,CC(C)(C)OC(=O)NC(CO[*])COC(=O)[*],3.85e-05,-4.414539270491499,1
26640,CCCC(OC(=O)*)C(C)(C)CO*,CCCC(OC(=O)[*])C(C)(C)CO[*],7.67e-06,-5.115204636051019,0
26641,CC(C)(C)OC(=O)NCC(CNC(=O)*)O*,CC(C)(C)OC(=O)NCC(CNC(=O)[*])O[*],4.76e-05,-4.3223930472795065,1
26642,CCCC(C)(C#N)NCC(COC(=O)*)O*,CCCC(C)(C#N)NCC(COC(=O)[*])O[*],6.77e-05,-4.169411331314856,1
26643,CCOC(=O)CC(C)(CN*)OC(=O)*,CCOC(=O)CC(C)(CN[*])OC(=O)[*],3.86e-05,-4.413412695328245,3
26644,COC(=O)N(C)CC(CO*)OC(=O)*,COC(=O)N(C)CC(CO[*])OC(=O)[*],4.14e-05,-4.382999658879101,3
26645,COCC(C)(O*)C(=O)OCC(C)OC(=O)*,COCC(C)(O[*])C(=O)OCC(C)OC(=O)[*],5e-05,-4.301029995663981,2
26646,O=C(*)NCCC(F)CN*,O=C([*])NCCC(F)CN[*],6.66e-05,-4.176525770829699,1
26647,CCC(CNC(=O)C(OC(=O)*)C(C)C)O*,CCC(CNC(=O)C(OC(=O)[*])C(C)C)O[*],5.72e-05,-4.242603971206976,2
26648,C=CCCCC(N*)C(=O)NCC(C)NC(=O)*,C=CCCCC(N[*])C(=O)NCC(C)NC(=O)[*],4.78e-05,-4.320572103387881,3
26649,CC(CC(C)(C)C(C)(C)N*)OC(=O)*,CC(CC(C)(C)C(C)(C)N[*])OC(=O)[*],2.2e-05,-4.657577319177793,0
26650,CC(NC(=O)*)C(=O)NC(C)(C)CN*,CC(NC(=O)[*])C(=O)NC(C)(C)CN[*],4.02e-05,-4.39577394691553,2
26651,C=CC(C)(CNC(CO*)C(C)C)OC(=O)*,C=CC(C)(CNC(CO[*])C(C)C)OC(=O)[*],4.71e-05,-4.326979092871104,3
26652,C=CCCNCC(CC(C)(C)OC(=O)*)O*,C=CCCNCC(CC(C)(C)OC(=O)[*])O[*],2.28e-05,-4.642065152999546,0
26653,C=CCNCC(CC(C)(C)OC(=O)*)O*,C=CCNCC(CC(C)(C)OC(=O)[*])O[*],2.39e-05,-4.621602099051862,0
26654,CC(CO*)NC(=O)C(C)(C)OC(=O)*,CC(CO[*])NC(=O)C(C)(C)OC(=O)[*],4.72e-05,-4.3260580013659125,2
26655,CC(CCCNC(=O)C(C)O*)COC(=O)*,CC(CCCNC(=O)C(C)O[*])COC(=O)[*],4.1e-05,-4.3872161432802645,3
26656,C=CC(CNC(COC(=O)*)C(C)(C)C)O*,C=CC(CNC(COC(=O)[*])C(C)(C)C)O[*],4.27e-05,-4.369572124974976,2
26657,CCC(CO*)(COC(=O)*)NC(=O)C(F)F,CCC(CO[*])(COC(=O)[*])NC(=O)C(F)F,2.73e-05,-4.563837352959244,3
26658,C#CCCCNCC(CC(C)(C)O*)OC(=O)*,C#CCCCNCC(CC(C)(C)O[*])OC(=O)[*],3.29e-05,-4.482804102050026,0
26659,CC(C)N(C)CC(CO*)OC(=O)*,CC(C)N(C)CC(CO[*])OC(=O)[*],8.44e-05,-4.073657553374345,1
26660,CC(CNC(=O)C(OC(=O)*)C(C)C)O*,CC(CNC(=O)C(OC(=O)[*])C(C)C)O[*],5.04e-05,-4.297569463554475,1
26661,CC(COC(=O)*)NC(=O)C(O*)C(C)C,CC(COC(=O)[*])NC(=O)C(O[*])C(C)C,3.04e-05,-4.517126416391246,0
26662,COC(=O)C(CSCCCOC(=O)*)N*,COC(=O)C(CSCCCOC(=O)[*])N[*],3.67e-05,-4.435333935747911,1
26663,CCCCC(N*)C(CCC)CNC(=O)*,CCCCC(N[*])C(CCC)CNC(=O)[*],5.9e-05,-4.229147988357856,2
26664,CC(C)CN(CCO*)CCOC(=O)*,CC(C)CN(CCO[*])CCOC(=O)[*],6.88e-05,-4.162411561764489,1
26665,CCC(C)CCC(OC(=O)*)C(C)CO*,CCC(C)CCC(OC(=O)[*])C(C)CO[*],2.7e-05,-4.568636235841013,2
26666,C=CC(C)(CNCCC(C)CO*)OC(=O)*,C=CC(C)(CNCCC(C)CO[*])OC(=O)[*],5.95e-05,-4.22548303427145,2
26667,CC(C)CC(CNC(=O)CCN*)OC(=O)*,CC(C)CC(CNC(=O)CCN[*])OC(=O)[*],4.78e-05,-4.320572103387881,0
26668,O=C(*)NCCCCO*,O=C([*])NCCCCO[*],7.17e-05,-4.1444808443322,3
26669,CCC(CNCC(CN(C)C)O*)OC(=O)*,CCC(CNCC(CN(C)C)O[*])OC(=O)[*],0.000104,-3.9829666607012197,2
26670,CCC(C)(COC(=O)*)NC(=O)C(C)O*,CCC(C)(COC(=O)[*])NC(=O)C(C)O[*],5.7e-05,-4.2441251443275085,3
26671,O=C(*)NCCCCN*,O=C([*])NCCCCN[*],6.65e-05,-4.1771783546968955,1
26672,O=C(CCCCCOC(=O)*)NCCO*,O=C(CCCCCOC(=O)[*])NCCO[*],0.000168,-3.774690718274137,2
26673,CC(CNC(=O)C(C)(C)OC(=O)*)CO*,CC(CNC(=O)C(C)(C)OC(=O)[*])CO[*],8.15e-05,-4.088842391260023,1
26674,C=CCCCN(C)CC(COC(=O)*)O*,C=CCCCN(C)CC(COC(=O)[*])O[*],5.91e-05,-4.228412519118745,1
26675,C=CCCCC(NC(=O)*)C(=O)NC(C)CN*,C=CCCCC(NC(=O)[*])C(=O)NC(C)CN[*],6.2e-05,-4.2076083105017466,3
26676,C#CC(C)N(C)CC(OC(=O)*)C(C)(C)O*,C#CC(C)N(C)CC(OC(=O)[*])C(C)(C)O[*],4.88e-05,-4.311580177997289,1
26677,CC#CCNCC(CC(C)(C)OC(=O)*)O*,CC#CCNCC(CC(C)(C)OC(=O)[*])O[*],4.05e-05,-4.392544976785332,0
26678,CC(C)(O*)C(NC(=O)*)C(=O)O,CC(C)(O[*])C(NC(=O)[*])C(=O)O,2.86e-05,-4.543633966870957,1
26679,CC(CCN(C)C(=O)C(C)(C)OC(=O)*)O*,CC(CCN(C)C(=O)C(C)(C)OC(=O)[*])O[*],8.24e-05,-4.084072788302884,0
26680,C=CCCC(C)N(C)CC(COC(=O)*)O*,C=CCCC(C)N(C)CC(COC(=O)[*])O[*],5.54e-05,-4.2564902352715706,1
26681,C=CC(CNCCCCCCOC(=O)*)O*,C=CC(CNCCCCCCOC(=O)[*])O[*],0.000108,-3.9665762445130506,2
26682,CC(C)(C)OC(=O)C(CN*)OC(=O)*,CC(C)(C)OC(=O)C(CN[*])OC(=O)[*],4.71e-05,-4.326979092871104,0
26683,C=CC(CNCCC(C)COC(=O)*)O*,C=CC(CNCCC(C)COC(=O)[*])O[*],7.49e-05,-4.125518182300533,2
26684,CC(C)C(NC(=O)*)C(O*)C(=O)O,CC(C)C(NC(=O)[*])C(O[*])C(=O)O,1.84e-05,-4.735182176990463,1
