dataset,sample_id,traj_id,replica,group,cutoff_source,cutoff_nm,method_id,method,parameter,n_frames,sigma_cNE0_corrected_S_cm,sigma_NE_S_cm,sigma_ref_S_cm,pred_ref,NE_ref,cNE_over_NE,abs_log_error,D_Li_cm2s,D_an_cm2s,V_nm3,N_LI,N_AN,neutral_pop,charged_pop,free_cation_count,free_anion_count,free_cation_fraction,free_anion_fraction,largest_cluster_size,pop_1_0,pop_0_1,pop_1_1,pop_2_1,pop_1_2,pop_2_2,alpha_Li_sum,alpha_AN_sum
ref,Traj_14164,14164,1,middle_stratified,rdf_min,0.338,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,0.0001625645350921,0.000520112826229,0.000121,1.343508554480694,4.298453109330579,0.3125562895089777,0.128240436047887,4.7382296955416175e-08,5.3646511588398336e-08,102.30820543523797,100,100,55.56897241103559,61.91323470611757,30.068372650939622,20.93322670931628,0.3006837265093962,0.2093322670931627,10,30.068372650939622,20.93322670931628,53.77648940423831,0.9604158336665334,9.200719712115154,1.7393042782886845,100.0,100.0
ref,Traj_14175,14175,1,middle_stratified,rdf_min,0.328,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,5.915672913953163e-05,0.0001855739834181,6.23e-05,0.9495462141176828,2.978715624688604,0.318777061578998,0.0224838934357847,1.5332183737902506e-08,1.8413537405095912e-08,95.77770418047275,100,100,45.575369852059175,62.14514194322272,29.70251899240304,14.948020791683328,0.2970251899240304,0.1494802079168332,13,29.70251899240304,14.948020791683328,42.45301879248301,1.499800079968013,13.754098360655735,2.855657736905238,100.0,100.0
ref,Traj_14224,14224,1,middle_stratified,rdf_min,0.326,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,2.257316103661744e-05,7.943389752463537e-05,1.96e-05,1.1516918896233388,4.052749873705887,0.2841754180526855,0.0613363084848642,7.309802950886246e-09,8.471162606233278e-09,104.63825754317408,100,100,47.39024390243902,55.48700519792083,25.766493402638943,12.05077968812475,0.2576649340263894,0.1205077968812475,12,25.766493402638943,12.05077968812475,43.4594162335066,1.9888044782087164,13.254298280687724,3.484206317473011,100.0,100.0
ref,Traj_14268,14268,1,middle_stratified,rdf_min,0.33,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,2.5482469879808417e-05,7.82069754818896e-05,3.55e-05,0.7178160529523497,2.203013393856045,0.3258337216442975,0.1439868335053327,6.791418425571037e-09,6.060095095128498e-09,86.5508996002578,100,100,46.0,63.83766493402639,30.97441023590564,15.209116353458615,0.3097441023590563,0.1520911635345861,15,30.97441023590564,15.209116353458615,43.58016793282687,1.107157137145142,14.768492602958815,2.2618952419032388,100.0,100.0
ref,Traj_14307,14307,1,middle_stratified,rdf_min,0.326,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,0.0005115138755768,0.0016804371889265,8.09e-05,6.322792034324378,20.771782310587145,0.304393332251596,0.800908897481306,1.533198585467663e-07,1.4890960107774466e-07,94.72776918917586,100,100,47.37784886045581,59.66613354658136,27.42383046781288,16.083566573370653,0.2742383046781287,0.1608356657337065,13,27.42383046781288,16.083566573370653,43.551779288284685,2.370251899240304,11.61295481807277,3.4578168732506995,100.0,100.0
ref,Traj_14318,14318,1,middle_stratified,rdf_min,0.332,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,0.0003608120353198,0.0012286631386788,9.33e-05,3.86722438713648,13.168951111241158,0.2936622935622698,0.5873993717803232,1.235404207716045e-07,9.592049149850849e-08,94.07779946459712,100,100,51.14754098360656,57.83046781287485,27.20991603358657,16.123550579768093,0.2720991603358657,0.1612355057976809,12,27.20991603358657,16.123550579768093,47.83046781287485,1.7093162734906038,11.07437025189924,3.052379048380648,100.0,100.0
ref,Traj_14373,14373,1,middle_stratified,rdf_min,0.334,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,1.6598194667927187e-05,6.259717292124428e-05,7.17e-05,0.2314950441830849,0.8730428580368799,0.2651588545190365,0.6354583018683921,6.8087205061994575e-09,3.8977376198426065e-09,90.08529448668178,100,100,51.09876049580168,52.11915233906438,24.19632147141144,11.436625349860057,0.2419632147141143,0.1143662534986005,11,24.19632147141144,11.436625349860057,47.48500599760096,1.8920431827269093,12.431827269092365,3.207117153138745,100.0,100.0
ref,Traj_14419,14419,1,middle_stratified,rdf_min,0.328,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,0.0001256997771135,0.0004358937791249,0.000116,1.0836187682205587,3.757704992456034,0.288372496083655,0.0348765183840509,4.533739315590968e-08,3.643919873818936e-08,98.81232893301517,100,100,50.636145541783286,56.66373450619752,26.63294682127149,14.367053178728508,0.2663294682127149,0.1436705317872851,11,26.63294682127149,14.367053178728508,47.4202319072371,1.751299480207917,12.165133946421433,2.9480207916833265,100.0,100.0
ref,Traj_14424,14424,1,middle_stratified,rdf_min,0.33,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,9.328368699140968e-05,0.0002909888285538,8.04e-05,1.1602448630772348,3.619264036738806,0.3205748050707821,0.0645496542794756,2.4036748236041184e-08,2.6495488774728812e-08,91.46501452402686,100,100,48.0295881647341,62.17153138744502,30.09796081567373,16.121151539384247,0.3009796081567373,0.1612115153938424,12,30.09796081567373,16.121151539384247,45.36225509796081,1.213514594162335,12.740503798480608,2.471011595361855,100.0,100.0
ref,Traj_14520,14520,1,middle_stratified,rdf_min,0.332,4,coordination_state_filter,Li_TFSI_O_contacts_ge_2,2501,2.5473065326525248e-05,7.6406377618377e-05,8.05e-05,0.316435594118326,0.9491475480543726,0.3333892551974425,0.4997146710032708,6.968523484874749e-09,5.540751789217136e-09,86.23138040632632,100,100,46.075969612155134,65.8468612554978,31.71611355457817,17.02638944422231,0.3171611355457817,0.1702638944422231,10,31.71611355457817,17.02638944422231,43.62455017992803,1.2874850059976009,14.534586165533788,2.309876049580168,100.0,100.0
