target_conductivity,repeat,generation_idx,num_samples,validity,uniqueness,novelty,run_csv
0,3,12,1024,0.8046875,0.990234375,0.89453125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen12.csv
0,3,13,1024,0.7880859375,0.9912109375,0.88671875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen13.csv
0,3,14,1024,0.81640625,0.986328125,0.8828125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen14.csv
0,3,15,1024,0.8271484375,0.9853515625,0.8935546875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen15.csv
0,3,16,1024,0.794921875,0.9873046875,0.9033203125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen16.csv
0,3,17,1024,0.8095703125,0.9833984375,0.8818359375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen17.csv
0,3,18,1024,0.8056640625,0.990234375,0.904296875,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen18.csv
0,3,19,1024,0.80859375,0.9912109375,0.8828125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen19.csv
0,3,20,1024,0.826171875,0.9873046875,0.890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen20.csv
0,3,21,1024,0.83203125,0.9912109375,0.90234375,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen21.csv
0,3,22,1024,0.8046875,0.9921875,0.87890625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen22.csv
0,3,23,1024,0.7998046875,0.9833984375,0.86328125,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen23.csv
0,3,24,1024,0.8046875,0.98828125,0.90625,minGPT/cond_repeat5_of_50_results/generated_per_generation/generated_cond0_repeat03_gen24.csv
