model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,fold,n_val,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,1.0,2,1567,191,0.13450510591378206,0.175805534476474,0.5001035229583151,0.7146816562577102,0.6662520330405591,0.10771882189308535,0.28551750873810305,0.8313503993253963
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,1.0,3,1567,167,0.1394585734428987,0.18075824553690367,0.42328031510883624,0.6670139926560793,0.617220547305966,0.11400750425795447,0.2815172644227209,0.8512617879641358
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,10.0,0,1568,179,0.13554424556145292,0.17760227360746808,0.4615821666649528,0.6860263778880176,0.6501988681611643,0.10766523476892242,0.27724290939645113,0.8555138302365117
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,10.0,1,1568,164,0.13147154045589768,0.17161811839545826,0.4807592021556961,0.7028545568804573,0.6524916847056096,0.10666742178084343,0.26676456687237965,0.8539622930235353
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,10.0,2,1567,191,0.13310309336065174,0.17414884666118138,0.509480591779218,0.7203250594637868,0.6729031509130696,0.1078179242153312,0.2798309136809281,0.8468257535972192
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_10,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,10.0,3,1567,167,0.13743696085222443,0.1786771166449865,0.436483792340709,0.6737339517693076,0.6221446452859798,0.11249484481444316,0.28102234171255513,0.8649395706938536
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,100.0,0,1568,179,0.1321498453996079,0.17389606665609755,0.48381912276259664,0.7012116656261423,0.667290395149181,0.10046341255901758,0.27007832915363206,0.8280424478848909
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,100.0,1,1568,164,0.12887180150320346,0.1692657933189656,0.49489584804775666,0.7115553486559687,0.6595838291176179,0.10328224795318475,0.26550176569392503,0.8736687408725157
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,100.0,2,1567,191,0.13105668674410156,0.17212727338186606,0.5208026926998048,0.7278567437274888,0.6803021142500358,0.10639141909692995,0.2728154986215133,0.9587766119676209
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,100.0,3,1567,167,0.13536147544474225,0.17675709779730342,0.44852952619921915,0.6791732260655998,0.6236765725336836,0.11100312799255807,0.2857225512282482,0.8955934667120893
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.01,0,1568,179,0.14302344816594112,0.18686508629561327,0.4039554446275354,0.6661999502582072,0.6353551754636837,0.1144111550687339,0.2972019006616091,0.8569098523618619
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.01,1,1568,164,0.1400577596279929,0.18143015471811486,0.4196880975638563,0.6828782809108802,0.6403535819757039,0.1148594495851416,0.2862322971479355,0.8750842802811603
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.01,2,1567,191,0.13992694333732728,0.18239027760677523,0.4619552982415297,0.7049134790357193,0.6606052373240919,0.10986685424597553,0.29546098949591887,0.8407014288514816
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.01,3,1567,167,0.145134671880278,0.18797198591399894,0.37633007750326575,0.6567797137255731,0.611332137136857,0.11627793750238524,0.29091717898125413,0.8831957365654839
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.1,0,1568,179,0.1429672690246868,0.1867973868176305,0.4043872491608862,0.6664303247458894,0.6356298428733475,0.114277576315446,0.29713291624493976,0.8567024890676711
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.1,1,1568,164,0.14000450846759777,0.18137479492586506,0.4200421847343493,0.6830501305130711,0.6404634775955883,0.1147666910103875,0.2861427684660014,0.875015407370598
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.1,2,1567,191,0.13988677343429867,0.18234623285198942,0.462215127722429,0.7050458964814985,0.6607442679750396,0.11004148341623488,0.2951434354262778,0.841164382309433
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,0.1,3,1567,167,0.14508511289399617,0.18791546586822397,0.37670507543580134,0.656945424024735,0.6114491605916582,0.11640692409634301,0.2906050501252839,0.883395915717264
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,1.0,0,1568,179,0.14245044134414864,0.18617176692949855,0.4083702083373766,0.6685633109290394,0.6377054939001608,0.1130228706856704,0.29562516568378333,0.8547691353239895
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,1.0,1,1568,164,0.13951512291785093,0.18086514387665206,0.4232968909311633,0.6846362163361115,0.6417584342900362,0.1142498992563965,0.28475900417648,0.8744320040450102
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,1.0,2,1567,191,0.13951271247265143,0.18194113572257947,0.4646019400309752,0.706269073871277,0.6620658520917357,0.11012260886776915,0.293324650589171,0.8455816556698572
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,1.0,3,1567,167,0.1446372369173268,0.18740106567321207,0.3801128225542627,0.6584553590303789,0.6127120442957473,0.11654488784910289,0.2902374337210788,0.8852819021831246
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,10.0,0,1568,179,0.13931790512516845,0.18262863041697389,0.43067517915870845,0.6808229344347593,0.6499342829453016,0.10986655397150846,0.28807380678893424,0.8428870957296635
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,10.0,1,1568,164,0.13691759480916754,0.1780187843859272,0.44130575401382743,0.6936624146321003,0.649262989991497,0.11234680385959805,0.2791871630454795,0.8736693590149791
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,10.0,2,1567,191,0.13758703259432256,0.17973435060318868,0.4775109849310242,0.7131189503259527,0.6699660190619375,0.11006690085769533,0.2876904802624341,0.8779722311854528
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,10.0,3,1567,167,0.14224179875327628,0.1847836029347171,0.3973080342797787,0.6661803926901162,0.6178496446657752,0.11359257165147607,0.2933744308102313,0.8976183465792884
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,0,1568,179,0.13495513206919468,0.17831165797257756,0.45727244727225846,0.6972748829039527,0.6665260098441705,0.10807374342376752,0.2775558136421206,0.8264549782592674
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,1,1568,164,0.13377538145646842,0.17469532623128037,0.4619717140717873,0.7049512293981588,0.6565771652665149,0.10844510261481233,0.2749371749041951,0.8895873946033408
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,2,1567,191,0.13508363815261756,0.17735558622661915,0.49124963392594634,0.7212326093893012,0.6774249833117353,0.10859098877191808,0.2748830911082998,1.013723642475476
