model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,tail_definition,n_tail,tail_mae_log10,tail_rmse_log10,tail_r2,tail_median_abs_error_log10,tail_p90_abs_error_log10
recall_focused_near_threshold__ridge_alpha_10,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,10.0,true_ge_1e-4,701,0.14138840257578647,0.17882814483445136,-0.1449458804685828,0.12271964920292522,0.27782042935761764
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,true_top_5pct,317,0.15613660021972506,0.1991001707473969,-0.12876355723467592,0.1391991699707913,0.2935645432971545
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,true_top_10pct,643,0.14277094770324741,0.18027906064765406,-0.14004773334837584,0.12588732159866778,0.2721669106162942
recall_focused_near_threshold__ridge_alpha_100,recall_focused_near_threshold,Scheme F: recall_focused_near_threshold,,Ridge,100.0,true_ge_1e-4,701,0.14094355666018027,0.17808313502444587,-0.13542591262311698,0.12304135597437726,0.2686678106397373
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.01,true_top_5pct,317,0.16496131263523175,0.21395984059007786,-0.3035396505017727,0.1311448379035225,0.3269607806563093
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.01,true_top_10pct,643,0.15589990743494211,0.19824706476320794,-0.3786245064610898,0.12951374096250223,0.31091757711094403
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.01,true_ge_1e-4,701,0.15487760862380615,0.19678900356536086,-0.38648402441986063,0.12813844210851277,0.3091463652913591
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.1,true_top_5pct,317,0.16495098679788708,0.21393653862891107,-0.30325573389211313,0.1314045178690848,0.32694296161843417
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.1,true_top_10pct,643,0.15589012569883598,0.19822867254108958,-0.3783687166265164,0.12933770639579656,0.31064709859820056
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,0.1,true_ge_1e-4,701,0.15486841175465846,0.1967696490093448,-0.3862113113860528,0.12813779227802202,0.30899515920491005
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,1.0,true_top_5pct,317,0.16486459049544488,0.21372941297118042,-0.3007334248857243,0.13159415934947916,0.3263950459810807
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,1.0,true_top_10pct,643,0.1558056211525065,0.19806577205911902,-0.376104214066457,0.1287891016516074,0.30897813902094934
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,1.0,true_ge_1e-4,701,0.1547881123829249,0.19659724286797292,-0.3837832271312165,0.12757746793421632,0.30753119822044006
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,10.0,true_top_5pct,317,0.1646824134148945,0.21287808909160405,-0.2903919372155592,0.13338742837659856,0.318651665826382
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,10.0,true_top_10pct,643,0.1555338075547961,0.19745239744085535,-0.3675943092544218,0.12861796153014726,0.3074600005188824
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,10.0,true_ge_1e-4,701,0.15448638516635016,0.19590106481189368,-0.3740002433176439,0.12728875279535323,0.30702135675977926
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,100.0,true_top_5pct,317,0.16667164329987555,0.21461883244476818,-0.3115817662047049,0.13976655833101947,0.32077615794305137
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,100.0,true_top_10pct,643,0.15739465037744407,0.1994612286385743,-0.3955629857399594,0.13491780377900486,0.3099519502940168
smooth_sigmoid_tail_a1_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a1_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.05,Ridge,100.0,true_ge_1e-4,701,0.1561804348342481,0.19755294253168937,-0.39726963794819903,0.13421103564533876,0.30663024842574504
smooth_sigmoid_tail_a1_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a1_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=1; temperature=0.1,Ridge,0.01,true_top_5pct,317,0.16710669698117836,0.21527079627693582,-0.3195624515112345,0.13484983215096236,0.3279908422701333
