model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,threshold_label,threshold_s_cm,threshold_log10,tp,fp,tn,fn,precision,recall,f1,predicted_positive_rate,true_positive_rate,enrichment
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,5e-5,5e-05,-4.301029995663981,2809,1018,1703,740,0.7339952965769533,0.79149056072133,0.7616594360086768,0.6103668261562999,0.5660287081339713,1.2967457057023095
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,1e-4,0.0001,-4.0,374,224,5345,327,0.6254180602006689,0.5335235378031383,0.5758275596612779,0.09537480063795853,0.11180223285486443,5.593967528471033
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,2e-4,0.0002,-3.6989700043360187,36,24,6160,50,0.6,0.4186046511627907,0.49315068493150693,0.009569377990430622,0.013716108452950558,43.74418604651162
aggressive_high_tail_step__ridge_alpha_1,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,1.0,3e-4,0.0003,-3.5228787452803374,17,3,6242,8,0.85,0.68,0.7555555555555556,0.003189792663476874,0.003987240829346092,213.18
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,3e-5,3e-05,-4.522878745280337,5371,657,130,112,0.8910086264100863,0.9795732263359475,0.9331943358526625,0.9614035087719298,0.874481658692185,1.0188991587800913
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,5e-5,5e-05,-4.301029995663981,2837,1016,1705,712,0.7363093693226057,0.7993801070724148,0.7665495811942719,0.6145135566188198,0.5660287081339713,1.3008339660898105
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,1e-4,0.0001,-4.0,372,219,5350,329,0.6294416243654822,0.5306704707560628,0.5758513931888545,0.09425837320574162,0.11180223285486443,5.629955755736909
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,2e-4,0.0002,-3.6989700043360187,37,21,6163,49,0.6379310344827587,0.43023255813953487,0.5138888888888888,0.009250398724082934,0.013716108452950558,46.509623095429035
aggressive_high_tail_step__ridge_alpha_10,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,10.0,3e-4,0.0003,-3.5228787452803374,16,3,6242,9,0.8421052631578947,0.64,0.7272727272727272,0.0030303030303030303,0.003987240829346092,211.20000000000002
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,3e-5,3e-05,-4.522878745280337,5419,679,108,64,0.888652017054772,0.9883275579062557,0.9358431914342458,0.9725677830940989,0.874481658692185,1.0162042945346381
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,5e-5,5e-05,-4.301029995663981,2882,1035,1686,667,0.7357671687515956,0.8120597351366582,0.7720332172515404,0.6247208931419458,0.5660287081339713,1.2998760631368003
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,1e-4,0.0001,-4.0,378,207,5362,323,0.6461538461538462,0.5392296718972895,0.5878693623639192,0.09330143540669857,0.11180223285486443,5.7794359705914635
aggressive_high_tail_step__ridge_alpha_100,aggressive_high_tail_step,Scheme D: aggressive_high_tail_step,,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,35,12,6172,51,0.7446808510638298,0.4069767441860465,0.5263157894736843,0.007496012759170654,0.013716108452950558,54.29242949035131
