model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,prediction_decile,count,mean_pred_log10,mean_true_log10,std_true_log10,mae_log10,min_pred_log10,max_pred_log10
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,4,627,-4.283446266442291,-4.308658703549746,0.16858445345696343,0.131864967245258,-4.303244044910324,-4.261889612424838
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,5,627,-4.240048218194218,-4.274078721584677,0.17564027246673392,0.1363256038436457,-4.261846860023622,-4.2188468013401454
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,6,627,-4.19559259339867,-4.233470716808708,0.15910672457562147,0.125349533053964,-4.2187877305178665,-4.171043716960806
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,7,627,-4.142492333439471,-4.190380457489029,0.1633447609255598,0.1266930514470135,-4.170905732384871,-4.111836691957084
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,8,627,-4.0688057407075435,-4.1100157404130355,0.16382222441461697,0.13024741433944897,-4.111762714112066,-4.018627359899451
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.01,9,627,-3.8838622103481986,-3.9244220940866628,0.2367313101051245,0.1354758497111121,-4.017735599380891,-2.9980154836718795
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,0,627,-4.544378765637179,-4.503994538873472,0.21170565149663353,0.16273938346664593,-5.116237710208898,-4.460332370563592
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,1,627,-4.424516788719071,-4.419099466424427,0.19182850155672615,0.14918752392667364,-4.460316858038803,-4.39300430088975
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,2,627,-4.367972026502746,-4.375379192808151,0.17364186152772357,0.1339050925516289,-4.392869982255034,-4.344785957823731
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,3,627,-4.323491090348819,-4.344279548011425,0.17712775262515296,0.13535524284593714,-4.344708395118817,-4.303231558781317
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,4,627,-4.283426221203812,-4.309438992644951,0.16905851527736313,0.13233320574141172,-4.303194946726404,-4.261809877132354
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,5,627,-4.240064518161647,-4.274406510462155,0.1744688567897657,0.13545979362718805,-4.2617175127110904,-4.218856691143488
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,6,627,-4.195610600667835,-4.232460875402514,0.15945513295403385,0.1256104455141192,-4.218842437089147,-4.170938789547625
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,7,627,-4.142532191976006,-4.190267185146558,0.1634969875512935,0.12678300653425081,-4.17086984008349,-4.111909229965892
smooth_sigmoid_tail_a2_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a2_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=2; temperature=0.2,Ridge,0.1,8,627,-4.068873927405414,-4.110129012755507,0.16372591968375155,0.13008938669618025,-4.111732087020121,-4.0185735320541855
