model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,threshold_label,threshold_s_cm,threshold_log10,tp,fp,tn,fn,precision,recall,f1,predicted_positive_rate,true_positive_rate,enrichment
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,2e-4,0.0002,-3.6989700043360187,41,19,6165,45,0.6833333333333333,0.47674418604651164,0.5616438356164384,0.009569377990430622,0.013716108452950558,49.81976744186046
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,3e-4,0.0003,-3.5228787452803374,17,3,6242,8,0.85,0.68,0.7555555555555556,0.003189792663476874,0.003987240829346092,213.18
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.01,3e-5,3e-05,-4.522878745280337,5332,639,148,151,0.892982749958131,0.9724603319350721,0.9310284616727782,0.9523125996810208,0.874481658692185,1.021156637285698
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.01,5e-5,5e-05,-4.301029995663981,2944,1174,1547,605,0.7149101505585236,0.8295294449140603,0.767966610147385,0.6567783094098884,0.5660287081339713,1.2630280766418547
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.01,1e-4,0.0001,-4.0,409,308,5261,292,0.5704323570432357,0.5834522111269614,0.5768688293370944,0.11435406698564593,0.11180223285486443,5.1021553190600395
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.01,2e-4,0.0002,-3.6989700043360187,38,25,6159,48,0.6031746031746031,0.4418604651162791,0.5100671140939597,0.010047846889952153,0.013716108452950558,43.97563676633444
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.01,3e-4,0.0003,-3.5228787452803374,18,4,6241,7,0.8181818181818182,0.72,0.7659574468085107,0.0035087719298245615,0.003987240829346092,205.20000000000002
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.1,3e-5,3e-05,-4.522878745280337,5333,639,148,150,0.8930006697923644,0.9726427138427868,0.931121780881711,0.9524720893141946,0.874481658692185,1.0211771292354779
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.1,5e-5,5e-05,-4.301029995663981,2944,1175,1546,605,0.7147365865501335,0.8295294449140603,0.767866458007303,0.6569377990430622,0.5660287081339713,1.2627214420031945
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.1,1e-4,0.0001,-4.0,408,307,5262,293,0.5706293706293706,0.5820256776034237,0.576271186440678,0.11403508771929824,0.11180223285486443,5.10391748052233
