model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,n_samples,n_high_true_ge_1e4,mae_log10,rmse_log10,r2,pearson,spearman,median_abs_error_log10,p90_abs_error_log10,max_abs_error_log10
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,10.0,6270,701,0.13956878770226513,0.1826985047289929,0.4289694952286166,0.6839080608072187,0.6458113722587273,0.11120439399888182,0.2869752771480782,0.8914908666400696
smooth_sigmoid_tail_a4_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.05,Ridge,100.0,6270,701,0.13675844878178128,0.18022443015021056,0.4443303903659821,0.6916287886307272,0.6513094464034804,0.11008065915239995,0.28269927511160714,1.1096619485645451
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.01,6270,701,0.1406840750830895,0.18400416250988405,0.4207785739263128,0.6775003159917874,0.6372846347034099,0.11147487554430402,0.2897410057862526,0.8909648487027226
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,0.1,6270,701,0.14064764307311126,0.18396497042722504,0.42102529091470386,0.6776278638009731,0.6374233524030691,0.11155104197922228,0.28952164797783536,0.8912299005209126
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,1.0,6270,701,0.14031246703942185,0.18360394708957697,0.4232954870472282,0.6788071723511038,0.6386569840621205,0.111510571785987,0.28882487513164645,0.8935296099135468
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,10.0,6270,701,0.1384010323536652,0.1816126962795875,0.43573678953647055,0.6854851207870531,0.6453949374787368,0.11047121958245398,0.28471768393499997,0.8996122778820372
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.1,Ridge,100.0,6270,701,0.13593719198301224,0.17955635833608083,0.4484423651408129,0.6932969726009499,0.6513190814665846,0.10886333477990107,0.28089767542381466,1.1033767531179919
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,0.01,6270,701,0.13842867235543585,0.18127640367690098,0.43782454948182736,0.6803132076794548,0.6375208360869793,0.11113727143987973,0.2848106395930511,0.8833367369623533
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,0.1,6270,701,0.13839717872017845,0.18124244154937072,0.4380351768492259,0.6804323561250218,0.6376401462034061,0.11114782445028681,0.2846043084526995,0.8831814744383717
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_1,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,1.0,6270,701,0.13810404506874152,0.18092875930136787,0.43997871548310463,0.6815371066451185,0.6388462764533043,0.11059768489616273,0.2838294285412742,0.8817020436413197
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_10,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,10.0,6270,701,0.13638013834026488,0.17917704926031625,0.45077021186141464,0.6878849433520998,0.6455355768261279,0.10903135144828036,0.27869086976896146,0.8802829537153363
smooth_sigmoid_tail_a4_t0p2__ridge_alpha_100,smooth_sigmoid_tail_a4_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=4; temperature=0.2,Ridge,100.0,6270,701,0.13422159096191374,0.1774069103630038,0.46156858851624516,0.6954049314567369,0.6518965666840627,0.107095392320526,0.27661396968859836,1.0941422685387305
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.01,6270,701,0.14437929620794937,0.18862371571196923,0.3913299748147836,0.6716570399647513,0.635049871920465,0.11591581843708898,0.29610725233958746,0.9242982543332543
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,0.1,6270,701,0.1443382483969835,0.18857602919480068,0.39163769523587555,0.6718031532748922,0.6352145740606708,0.1158790982119684,0.29586876613611174,0.9240364449780012
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,1.0,6270,701,0.14395678513178242,0.1881407454367379,0.39444297865498334,0.6731435208149774,0.6366410963594673,0.11561257518038559,0.2958190887418054,0.9210244441698645
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,10.0,6270,701,0.1418236853212089,0.18586206567784924,0.4090226416104712,0.6804059270451739,0.643816620709455,0.1136510555252439,0.2916901550691102,0.9362334244138024
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p05,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.05,Ridge,100.0,6270,701,0.13931922193478635,0.183801016412691,0.4220568234703057,0.6882505864064749,0.6490127534988778,0.11153682160230027,0.2888682959400279,1.1663977919522797
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.01,6270,701,0.14245782757144054,0.18666481943089366,0.40390665629829636,0.6746654945031697,0.6350353883024376,0.11355837751145237,0.29399002448419065,0.9263481423196467
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,0.1,6270,701,0.14242257892357055,0.18662602625475752,0.40415439394124497,0.6748006660643558,0.6351927563424474,0.11345978636730525,0.2937562574755475,0.9266343423593968
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_1,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,1.0,6270,701,0.14209758319193602,0.18627070670806914,0.4064211093715633,0.6760466462751563,0.6365138718877474,0.11317967928188555,0.2933212954705183,0.9290801889506186
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_10,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,10.0,6270,701,0.14027156183644188,0.18438105293318696,0.4184033387429481,0.6829954079974587,0.6433943073353314,0.11244712167923732,0.28859964611957156,0.9343707272328441
smooth_sigmoid_tail_a6_t0p1__ridge_alpha_100,smooth_sigmoid_tail_a6_t0p1,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.1,Ridge,100.0,6270,701,0.1381730772119019,0.18283196889333,0.42813489675916006,0.6909315047630042,0.6491538849117435,0.10996321408789034,0.28687196396237385,1.1577665855415447
smooth_sigmoid_tail_a6_t0p2__ridge_alpha_0p01,smooth_sigmoid_tail_a6_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.2,Ridge,0.01,6270,701,0.13923949727400806,0.18268988024137475,0.4290234062256866,0.6790553176456121,0.6361576655567358,0.11100312778715349,0.2861047311825773,0.8972945413947051
smooth_sigmoid_tail_a6_t0p2__ridge_alpha_0p1,smooth_sigmoid_tail_a6_t0p2,Scheme E: smooth_sigmoid_tail,threshold=-4; alpha=6; temperature=0.2,Ridge,0.1,6270,701,0.13920838210202616,0.18265738013490448,0.42922653898223884,0.6791769072001228,0.6362940693194131,0.11100508726332015,0.2860325172076126,0.8975623337916794
