model_id,scheme_id,scheme_name,scheme_params,regressor,ridge_alpha,k,n_selected,true_ge_1e4_hits,true_ge_1e4_hit_rate,base_prevalence_true_ge_1e4,enrichment,mean_true_log10_cond,median_true_log10_cond
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.525250453284457,-3.5528530478812814
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.633620987053332,-3.718966632752272
high_tail_step__ridge_alpha_1,high_tail_step,Scheme C: high_tail_step,,Ridge,1.0,200,200,173,0.865,0.11180223285486443,7.736875891583453,-3.752044816411767,-3.772113295386327
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.3345091054330975,-3.312471038785365
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.488752106144959,-3.5474530158360644
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,100,100,95,0.95,0.11180223285486443,8.497146932952925,-3.6273702313311302,-3.6991057637908638
high_tail_step__ridge_alpha_10,high_tail_step,Scheme C: high_tail_step,,Ridge,10.0,200,200,175,0.875,0.11180223285486443,7.826319543509273,-3.751221029136732,-3.772113295386327
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,10,10,10,1.0,0.11180223285486443,8.944365192582026,-3.1428347741694607,-3.1506262056909997
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,25,25,25,1.0,0.11180223285486443,8.944365192582026,-3.2488637817867048,-3.20690839982342
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,50,50,48,0.96,0.11180223285486443,8.586590584878744,-3.4815520105962126,-3.549750891680639
high_tail_step__ridge_alpha_100,high_tail_step,Scheme C: high_tail_step,,Ridge,100.0,100,100,96,0.96,0.11180223285486443,8.586590584878744,-3.613071457735891,-3.661548075655676
