Trajectory ID,SMILES,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number,PSMILES,log10_cond,fold
27091,CC(CCCO*)CCOC(=O)*,1.41,419.0,17.0,1.22,9.62e-05,4.87e-08,3.33e-08,5.34e-08,0.213,CC(CCCO[*])CCOC(=O)[*],-4.016824927962187,0
27092,CCN(CC)CCC(CNC(=O)*)O*,1.44,447.0,31.0,1.21,8.4e-05,4.14e-08,2.47e-08,1.64e-08,0.0703,CCN(CC)CCC(CNC(=O)[*])O[*],-4.075720713938118,1
27093,CCOC(=O)C(CNC(=O)*)C(C)(CC)N*,1.49,475.0,26.0,1.3,2.63e-05,1.09e-08,7.44e-09,7.44e-09,-0.159,CCOC(=O)C(CNC(=O)[*])C(C)(CC)N[*],-4.580044251510242,3
27094,CC(C)(C)C(NC(=O)*)C(C)(C)O*,1.34,432.0,31.0,1.17,1.84e-05,2.2e-08,1.31e-08,7.01e-09,-0.0164,CC(C)(C)C(NC(=O)[*])C(C)(C)O[*],-4.735182176990463,1
27095,CCCCSCC(CO*)NC(=O)*,1.41,450.0,31.0,1.28,5.84e-05,3.36e-08,2.49e-08,1.31e-08,0.0395,CCCCSCC(CO[*])NC(=O)[*],-4.2335871528876,0
27096,CC(C)CC(NC(=O)*)C(O*)C(F)(F)F,1.27,472.0,31.0,1.37,2.66e-05,2.87e-08,1.6e-08,1.18e-08,-0.0705,CC(C)CC(NC(=O)[*])C(O[*])C(F)(F)F,-4.575118363368933,3
27097,CC(C)C(C)(CNC(=O)*)NCCN*,1.41,446.0,19.0,1.22,5.88e-05,1.49e-08,1.93e-08,6.11e-09,0.21,CC(C)C(C)(CNC(=O)[*])NCCN[*],-4.230622673923862,3
27098,CCCCOCC(CNC(=O)*)O*,1.32,434.0,31.0,1.22,0.000128,6.76e-08,2.13e-08,2.35e-08,-0.222,CCCCOCC(CNC(=O)[*])O[*],-3.8927900303521317,3
27099,CCC(CC)SCC(COC(=O)*)O*,1.31,465.0,31.0,1.26,4.36e-05,5.5e-08,2.41e-08,2.14e-08,-1.55,CCC(CC)SCC(COC(=O)[*])O[*],-4.360513510731414,3
27100,CC(CCCC(C)OC(=O)*)O*,1.5,419.0,19.0,1.21,6.6e-05,5.17e-08,3.25e-08,3.99e-08,-0.336,CC(CCCC(C)OC(=O)[*])O[*],-4.180456064458132,0
27101,CC(C)C(C)SCC(COC(=O)*)O*,1.31,465.0,31.0,1.25,2.68e-05,3.37e-08,1.76e-08,1.91e-08,-0.847,CC(C)C(C)SCC(COC(=O)[*])O[*],-4.5718652059712115,0
27102,CC(C)=CCCC(CO*)OC(=O)*,1.35,431.0,31.0,1.21,2.38e-05,4.15e-08,3.64e-08,3.58e-08,-0.548,CC(C)=CCCC(CO[*])OC(=O)[*],-4.623423042943488,3
27103,CC(CCSCC(C)(C)O*)OC(=O)*,1.43,465.0,17.0,1.27,3.99e-05,3.99e-08,2.16e-08,3.09e-08,-0.264,CC(CCSCC(C)(C)O[*])OC(=O)[*],-4.399027104313252,2
27104,CC(C)(COCOCC(C)(C)NC(=O)*)N*,1.43,477.0,16.0,1.25,8.36e-05,2.62e-08,2.19e-08,1.1e-08,0.262,CC(C)(COCOCC(C)(C)NC(=O)[*])N[*],-4.077793722560983,3
27105,CC(NC(C)C(C)OC(=O)*)C(C)O*,1.39,448.0,19.0,1.2,3.7e-05,3.65e-08,2.21e-08,1.72e-08,-0.219,CC(NC(C)C(C)OC(=O)[*])C(C)O[*],-4.431798275933005,3
27106,CC(C)CCCSCC(COC(=O)*)O*,1.47,479.0,31.0,1.25,5.7e-05,5.38e-08,3.86e-08,2.44e-08,-0.134,CC(C)CCCSCC(COC(=O)[*])O[*],-4.2441251443275085,1
27107,CCCC(CSC(C)C(C)O*)OC(=O)*,1.5,479.0,19.0,1.25,2.95e-05,2.91e-08,1.99e-08,1.58e-08,-0.166,CCCC(CSC(C)C(C)O[*])OC(=O)[*],-4.530177984021837,2
27108,CC(CCOC(=O)*)SCC(C)(C)CO*,1.42,479.0,16.0,1.25,4.55e-05,3.11e-08,2.17e-08,2.79e-08,0.094,CC(CCOC(=O)[*])SCC(C)(C)CO[*],-4.341988603342887,2
27109,CC(CCO*)SCCCCOC(=O)*,1.44,465.0,14.0,1.28,0.000137,8.11e-08,3.21e-08,5.24e-08,-0.201,CC(CCO[*])SCCCCOC(=O)[*],-3.8632794328435933,3
27110,CCCC(CSCCCO*)OC(=O)*,1.43,465.0,17.0,1.26,8.44e-05,7.35e-08,3.64e-08,4.33e-08,-0.176,CCCC(CSCCCO[*])OC(=O)[*],-4.073657553374345,3
27111,CC(C)C(CCSCCCOC(=O)*)O*,1.42,479.0,16.0,1.26,2.39e-05,3.3e-08,1.79e-08,2.81e-08,-0.435,CC(C)C(CCSCCCOC(=O)[*])O[*],-4.621602099051862,0
27112,CC(CSCCC(C)(C)O*)OC(=O)*,1.43,465.0,17.0,1.27,4.02e-05,2.98e-08,1.46e-08,2.28e-08,-0.0904,CC(CSCCC(C)(C)O[*])OC(=O)[*],-4.39577394691553,3
27113,CCC(CC)(OC(=O)*)C(N*)C(C)(C)C,1.34,460.0,31.0,1.14,1.46e-05,4.01e-08,2.03e-08,5.48e-09,-0.334,CCC(CC)(OC(=O)[*])C(N[*])C(C)(C)C,-4.835647144215563,0
27114,CCCCCCOCC(COC(=O)*)O*,1.32,463.0,31.0,1.19,3.79e-05,5.21e-08,3.27e-08,4.01e-08,-0.18,CCCCCCOCC(COC(=O)[*])O[*],-4.421360790031928,1
27115,CC(C)(CC(C)(C)NC(=O)*)N*,1.36,417.0,26.0,1.22,2.41e-05,1.06e-08,4.02e-09,5.21e-09,-0.147,CC(C)(CC(C)(C)NC(=O)[*])N[*],-4.617982957425132,3
27116,CCC(CSCCC(C)(C)OC(=O)*)O*,1.48,479.0,17.0,1.25,2.92e-05,2.84e-08,2.6e-08,2.59e-08,0.159,CCC(CSCCC(C)(C)OC(=O)[*])O[*],-4.534617148551582,0
27117,CC(C)(C)CCC(COC(=O)*)N*,1.34,432.0,31.0,1.14,2.91e-05,2.35e-08,1.73e-08,1.05e-08,0.188,CC(C)(C)CCC(COC(=O)[*])N[*],-4.536107011014093,0
27118,C=CCCCCCCC(CN*)OC(=O)*,1.36,458.0,31.0,1.15,7.02e-05,5.26e-08,3.41e-08,2.73e-08,-0.303,C=CCCCCCCC(CN[*])OC(=O)[*],-4.153662887870195,3
27119,CC(C)(C)C(C)(CO*)COC(=O)*,1.39,433.0,26.0,1.2,2.06e-05,2.05e-08,1.06e-08,1.29e-08,-0.858,CC(C)(C)C(C)(CO[*])COC(=O)[*],-4.686132779630847,3
27120,CC(C)C(C)(O*)C(C)(OC(=O)*)C(C)C,1.34,461.0,31.0,1.19,2.17e-05,2.91e-08,2.06e-08,6.55e-09,-0.485,CC(C)C(C)(O[*])C(C)(OC(=O)[*])C(C)C,-4.663540266151471,3
27121,O=C(*)NCCCCCCCCN*,1.48,431.0,14.0,1.19,6.59e-05,2.55e-08,1.95e-08,2.58e-08,0.315,O=C([*])NCCCCCCCCN[*],-4.18111458540599,1
27122,CC(CO*)CSCCC(C)OC(=O)*,1.38,465.0,16.0,1.26,6.1e-05,3.8e-08,2.5e-08,3.63e-08,-0.051,CC(CO[*])CSCCC(C)OC(=O)[*],-4.214670164989233,2
27123,CC(COC(=O)*)SCC(C)(C)CO*,1.43,465.0,17.0,1.27,4.02e-05,3.73e-08,2.1e-08,3.47e-08,-0.348,CC(COC(=O)[*])SCC(C)(C)CO[*],-4.39577394691553,1
27124,CC(C)(C)CC(NC(=O)*)C(C)(C)O*,1.44,446.0,31.0,1.14,1.59e-05,2.03e-08,1.58e-08,6.73e-09,-0.514,CC(C)(C)CC(NC(=O)[*])C(C)(C)O[*],-4.798602875679548,0
27125,CC(C)C(C)(CN*)NC(=O)CCNC(=O)*,1.37,474.0,17.0,1.29,3.11e-05,1.06e-08,7.07e-09,5.48e-09,0.366,CC(C)C(C)(CN[*])NC(=O)CCNC(=O)[*],-4.507239610973163,1
27126,CC(C)(CCSCCCCO*)OC(=O)*,1.47,479.0,14.0,1.27,5.27e-05,3.1e-08,2.36e-08,3.03e-08,-0.22,CC(C)(CCSCCCCO[*])OC(=O)[*],-4.278189384787454,0
27127,CCCCCCC(CO*)COC(=O)*,1.47,447.0,26.0,1.17,2.22e-05,2.51e-08,2.25e-08,1.75e-08,-0.00999,CCCCCCC(CO[*])COC(=O)[*],-4.653647025549361,2
27128,CCCCC(CCOC(=O)*)O*,1.34,419.0,26.0,1.2,5.33e-05,3.73e-08,2.12e-08,3.45e-08,0.0301,CCCCC(CCOC(=O)[*])O[*],-4.273272790973428,1
27129,CCC(CC)(CCO*)OC(=O)*,1.34,419.0,26.0,1.23,2.39e-05,1.95e-08,1.04e-08,1.45e-08,-0.25,CCC(CC)(CCO[*])OC(=O)[*],-4.621602099051862,0
