model_id,bin_left,bin_right,count
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.6000000000000001,0.625,6
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.625,0.6500000000000001,6
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.6500000000000001,0.675,3
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.675,0.7000000000000002,5
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.7000000000000002,0.7250000000000001,2
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.7250000000000001,0.75,3
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.75,0.7750000000000001,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.7750000000000001,0.8,1
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.8,0.8250000000000002,1
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.8250000000000002,0.8500000000000001,3
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.8500000000000001,0.875,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.875,0.9000000000000001,2
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.9000000000000001,0.925,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.925,0.9500000000000002,1
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.9500000000000002,0.9750000000000001,0
smooth_sigmoid_tail_a4_t0p1__ridge_alpha_100,0.9750000000000001,1.0,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-1.0,-0.975,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.975,-0.95,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.95,-0.925,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.925,-0.9,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.9,-0.875,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.875,-0.85,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.85,-0.825,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.825,-0.8,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.8,-0.775,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.775,-0.75,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.75,-0.725,1
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.725,-0.7,1
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.7,-0.675,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.675,-0.6499999999999999,1
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.6499999999999999,-0.625,1
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.625,-0.6,2
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.6,-0.575,0
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.575,-0.55,2
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.55,-0.5249999999999999,2
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.5249999999999999,-0.5,4
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.5,-0.475,4
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.475,-0.44999999999999996,2
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.44999999999999996,-0.42499999999999993,7
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.42499999999999993,-0.3999999999999999,10
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.3999999999999999,-0.375,16
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.375,-0.35,20
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.35,-0.32499999999999996,19
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.32499999999999996,-0.29999999999999993,36
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.29999999999999993,-0.2749999999999999,56
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.2749999999999999,-0.25,57
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.25,-0.22499999999999998,90
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.22499999999999998,-0.19999999999999996,115
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.19999999999999996,-0.17499999999999993,156
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.17499999999999993,-0.1499999999999999,182
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.1499999999999999,-0.125,212
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.125,-0.09999999999999998,239
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.09999999999999998,-0.07499999999999996,294
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.07499999999999996,-0.04999999999999993,346
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.04999999999999993,-0.02499999999999991,363
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,-0.02499999999999991,0.0,378
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.0,0.025000000000000133,352
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.025000000000000133,0.050000000000000044,348
smooth_sigmoid_tail_a6_t0p05__ridge_alpha_10,0.050000000000000044,0.07499999999999996,381
