row_id,canonical_structure,canonical_group_id,conductivity_S_cm,log10_conductivity_S_cm,stratification_bin,fold,source_file
28558,[*]COC(=O)OCC([*])NC(=O)C(C)(C)C,sha256:1fc71a8c2eaab61e836f4af0e6cdac6642958a324f101004259a8642911a25b0,4.76e-05,-4.3223930472795065,2,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28559,[*]C#CC#CC(C)OC(=O)OC([*])C,sha256:4949ab1af1b0a218e4de940e9be787311b4036c3c5a501a01ab5b5f763bfa7dc,3.51e-05,-4.454692883534176,1,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28560,[*]NC(=O)NCCNC(=O)C([*])CCSC,sha256:871f025df729d8a7dca9a32b5ad3bcf6dd659ebf3619e29df6ab70deac3b1157,8.8e-05,-4.055517327849832,4,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28561,[*]CCOC(=O)OCC([*])OC(C)OCC,sha256:33bfd4fdddf48cb57ba127070c4ed68aa68a28b5791c685df6d940401299fa4c,9.09e-05,-4.041436116778033,5,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28562,[*]CCOC(=O)OCCN([*])CC(C)(C)C,sha256:2ddfc264988a3368c6ce6f3c12f5b66f953cf37d14f4c32d6c550e27458a4bef,3.4e-05,-4.468521082957745,1,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28563,[*]COC(=O)OC([*])CSC(C)C(C)=O,sha256:826c5545c872796894c074575a75e5205ba740a091a73a3c97634b6d9b818d28,9.88e-05,-4.005243055412372,5,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28564,[*]CCOC(=O)NC(CC#N)C(=O)N([*])C,sha256:f021eb01dbb02a104cd4d86bdc03b26f03c1218d30235bcdd1192fc02bf7571b,4.83e-05,-4.316052869248487,2,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28565,[*]COC(=O)OCC([*])(C)CN(C)C(=O)CC,sha256:fc613612a6d4a83d591830f000c9642f135caa1e11482678a805cd14a7bd85fb,2.97e-05,-4.527243550682788,0,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28566,[*]CN(C)CCCNC(=O)OC([*])COC,sha256:8169e91c30b46847b1c6b74e98cacb39db9fa1ede3bee288ed5f9c9b4c549b2d,0.000105,-3.9788107009300617,5,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28567,[*]CCCCCCNC(=O)NCCNC([*])=O,sha256:dc9ec38dc1ceaed9c514ec29640043d46a009e17d806db88965d57f8dfe11c54,6.95e-05,-4.158015195409886,4,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28568,[*]CN(CCOC(=O)OC([*])COC)C(C)C,sha256:a7a37744bcc386f032357245a4155266c78b3188d723b9046ab4bf0d426bba32,4.65e-05,-4.332547047110047,2,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28569,[*]COC(=O)OC([*])CNCCOC(C)C,sha256:f3dbce41d6442a5378e238581864d3dca691532950e8d04b7f3c50deb4464866,0.000108,-3.96657624451305,5,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28570,[*]COC(=O)OCC([*])NCCSCC,sha256:f406c480a08d9d7d98a86fd8c1684a9eb42510d339eba88faf1eea9c85f0f211,9.63e-05,-4.016373712875465,5,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28571,[*]COC(=O)OCC(C)(C)ONC(=O)C([*])=C,sha256:5ece487b1462f35cf3161c6fe10436ff52c49c4d26ef8cae8ccaa5d8ed53bb11,8.16e-05,-4.088309841246139,4,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28572,[*]NC(=O)OC(C(C)C)C([*])CC,sha256:fa48ffc27a935644e23ab7619bda199ebab29f84a9ef605cf754ccaf3b5e98aa,2.07e-05,-4.684029654543083,0,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28573,[*]OCC(COC([*])=O)=NO,sha256:ed6988673c1ec15bbbdc361a4fa9724c31ed2c0fc4852a84ba29b0dcee92434d,6.65e-05,-4.177178354696896,4,1,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28574,[*]CCCCCOC(=O)OCC#CCNC([*])=O,sha256:04b934779c961e77be9fd741b7e13c33f951679f4f05e3a33d576fa1e9b38829,9.05e-05,-4.043351420794797,5,2,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28575,[*]CCNC(=O)OCCN([*])CC(=O)NC,sha256:4aefd61c9b966a7633c31c5cc8e7f1923232ad13338a7ebb72bfd402761808f3,9.28e-05,-4.032452023781138,5,0,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28576,[*]CCCCNC(=O)OC(C)(C)CN([*])CC,sha256:63db60aeccbe3e7e6c2e82db291d5d7842522b92a563fb73cea54e3858d16634,4.15e-05,-4.381951903287908,1,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
28577,[*]CCOC(=O)OCCC([*])C,sha256:3ceb85f684b7b4b60a2f043c6a69cbef8e26befeafae924d4a6d6082a6bcbd9b,0.000118,-3.9281179926938745,5,3,MY_PAPER_RELATED/polybert_con/fold_assignment.csv
